Saint-Éloy-la-Glacière;63337;Saint-Éloysiens;12,02;56 (2017);4,7;CC Ambert Livradois Forez;
Saint-Ferréol-des-Côtes;63341;Saint-Ferréolois;15,03;544 (2017);36;CC Ambert Livradois Forez;
Saint-Germain-l'Herm;63353;Saint-Germinois;36,68;487 (2017);13;CC Ambert Livradois Forez;
Saint-Gervais-sous-Meymont;63355;;10,17;235 (2017);23;CC Ambert Livradois Forez;
Saint-Just;63371;;19,42;157 (2017);8,1;CC Ambert Livradois Forez;
Saint-Martin-des-Olmes;63374;;17,15;287 (2017);17;CC Ambert Livradois Forez;
Saint-Pierre-la-Bourlhonne;63384;Saint-Pierrois;11,89;128 (2017);11;CC Ambert Livradois Forez;
Saint-Romain;63394;;16,05;212 (2017);13;CC Ambert Livradois Forez;
Saint-Sauveur-la-Sagne;63398;;7,74;95 (2017);12;CC Ambert Livradois Forez;
Sauvessanges;63412;Sauvessangeois;33,19;527 (2017);16;CC Ambert Livradois Forez;
Thiolières;63431;Thioliérois;5,3;161 (2017);30;CC Ambert Livradois Forez;
Tours-sur-Meymont;63434;Meymontoursins;18,09;516 (2017);29;CC Ambert Livradois Forez;
Valcivières;63441;Cheveyrands;32,96;209 (2017);6,3;CC Ambert Livradois Forez;
Vertolaye;63454;Vertolayais;10,76;535 (2017);50;CC Ambert Livradois Forez;
Viverols;63465;Viverolois;12,5;408 (2017);33;CC Ambert Livradois Forez;
Billom;63040;Billomois;16,96;4 741 (2017);280;CC Billom Communauté;
Beauregard-l'Évêque;63034;Beauregardois;12,02;1 518 (2017);126;CC Billom Communauté;
Bongheat;63044;Bongheatois;11,2;427 (2017);38;CC Billom Communauté;
Bouzel;63049;Bouzellois;4,21;727 (2017);173;CC Billom Communauté;
Chas;63096;Chassois;3,52;379 (2017);108;CC Billom Communauté;
Chauriat;63106;Chauriatois;8,64;1 677 (2017);194;CC Billom Communauté;
Égliseneuve-près-Billom;63146;Égliseneuvois;16,66;799 (2017);48;CC Billom Communauté;
Espirat;63154;Piradaires;4,32;408 (2017);94;CC Billom Communauté;
Estandeuil;63155;Estandins;9,59;452 (2017);47;CC Billom Communauté;
Fayet-le-Château;63157;;12,54;357 (2017);28;CC Billom Communauté;
Glaine-Montaigut;63168;Glainois;12,92;572 (2017);44;CC Billom Communauté;
Isserteaux;63177;Issertois;17,66;414 (2017);23;CC Billom Communauté;
Mauzun;63216;Mauzunois;0,99;115 (2017);116;CC Billom Communauté;
Montmorin;63239;;13,65;722 (2017);53;CC Billom Communauté;
Mur-sur-Allier;63226;;15,07;3 412 (2017);226;CC Billom Communauté;
Neuville;63252;;11,55;382 (2017);33;CC Billom Communauté;
Pérignat-sur-Allier;63273;;4,9;1 509 (2017);308;CC Billom Communauté;
Reignat;63297;Reignatois;4,1;389 (2017);95;CC Billom Communauté;
Saint-Bonnet-lès-Allier;63325;;1,51;427 (2017);283;CC Billom Communauté;
Saint-Dier-d'Auvergne;63334;Saint-Diérois;20,15;519 (2017);26;CC Billom Communauté;
Saint-Jean-des-Ollières;63365;Olliérois;19,56;451 (2017);23;CC Billom Communauté;
Saint-Julien-de-Coppel;63368;Coppellois;21,54;1 276 (2017);59;CC Billom Communauté;
Trézioux;63438;Trézioutois;17,44;476 (2017);27;CC Billom Communauté;
Vassel;63445;Vasselois;2,95;289 (2017);98;CC Billom Communauté;
